t,fsales,quarter,sales,train
1990q1,6028.2783,1,6028.2783,1
1990q2,6042.6328,2,6042.6328,1
1990q3,6073.0444,3,6073.0444,1
1990q4,6104.793,4,6104.793,1
1991q1,6129.0503,1,6129.0503,1
1991q2,6126.8691,2,6126.8691,1
1991q3,6171.7007,3,6171.7007,1
1991q4,6188.2637,4,6188.2637,1
1992q1,6208.5898,1,6208.5898,1
1992q2,6234.4106,2,6234.4106,1
1992q3,6246.1064,3,6246.1064,1
1992q4,6263.3979,4,6263.3979,1
1993q1,6270.9883,1,6270.9883,1
1993q2,6287.8584,2,6287.8584,1
1993q3,6302.6191,3,6302.6191,1
1993q4,6318.9683,4,6318.9683,1
1994q1,6352.6294,1,6352.6294,1
1994q2,6352.6294,2,6352.6294,1
1994q3,6373.3198,3,6373.3198,1
1994q4,6400.2578,4,6400.2578,1
1995q1,6424.8691,1,6424.8691,1
1995q2,6459.9048,2,6459.9048,1
1995q3,6481.5771,3,6481.5771,1
1995q4,6504.2881,4,6504.2881,1
1996q1,6520.6211,1,6520.6211,1
1996q2,6530.8774,2,6530.8774,1
1996q3,6546.7852,3,6546.7852,1
1996q4,6533.7886,4,6533.7886,1
1997q1,6556.7783,1,6556.7783,1
1997q2,6549.6509,2,6549.6509,1
1997q3,6563.8555,3,6563.8555,1
1997q4,6572.2822,4,6572.2822,1
1998q1,6584.791,1,6584.791,1
1998q2,6614.7256,2,6614.7256,1
1998q3,6630.6836,3,6630.6836,1
1998q4,6658.0107,4,6658.0107,1
1999q1,6682.1084,1,6682.1084,1
1999q2,6704.4146,2,6704.4146,1
1999q3,6729.8242,3,6729.8242,1
1999q4,6754.604,4,6754.604,1
2000q1,6781.0576,1,6781.0576,1
2000q2,6807.9346,2,6807.9346,1
2000q3,6839.4766,3,6839.4766,1
2000q4,6875.2324,4,6875.2324,1
2001q1,6890.6094,1,6890.6094,1
2001q2,6920.6714,2,6920.6714,1
2001q3,6941.1904,3,6941.1904,1
2001q4,6969.7905,4,6969.7905,1
2002q1,7003.9741,1,7003.9741,1
2002q2,7004.8818,2,7004.8818,1
2002q3,7043.1602,3,7043.1602,1
2002q4,7067.3198,4,7067.3198,1
2003q1,7103.3223,1,7103.3223,1
2003q2,7113.9561,2,7113.9561,1
2003q3,7124.4785,3,7124.4785,1
2003q4,7144.4072,4,7144.4072,1
2004q1,7166.2661,1,7166.2661,1
2004q2,7183.1118,2,7183.1118,1
2004q3,7211.5571,3,7211.5571,1
2004q4,7223.2959,4,7223.2959,1
2005q1,7245.6553,1,7245.6553,1
2005q2,7280.6973,2,7280.6973,1
2005q3,7303.1704,3,7303.1704,1
2005q4,7323.8306,4,7323.8306,1
2006q1,7345.3652,1,7345.3652,1
2006q2,7356.9185,2,7356.9185,1
2006q3,7370.2305,3,7370.2305,1
2006q4,7396.9487,4,7396.9487,1
2007q1,7408.5308,1,7408.5308,1
2007q2,7429.5205,2,7429.5205,1
2007q3,7451.2417,3,7451.2417,1
2007q4,7468.5137,4,7468.5137,1
2008q1,7480.9922,1,7480.9922,1
2008q2,7499.4233,2,7499.4233,1
2008q3,7512.6177,3,7512.6177,1
2008q4,7518.6069,4,7518.6069,1
2009q1,7544.332,1,7544.332,1
2009q2,7579.6792,2,7579.6792,1
2009q3,7574.5581,3,7574.5581,1
2009q4,7597.8979,4,7597.8979,1
2010q1,7630.9468,1,7630.9468,1
2010q2,7628.5176,2,7628.5176,1
2010q3,7650.645,3,7650.645,1
2010q4,7659.6431,4,7659.6431,1
2011q1,7670.8945,1,,0
2011q2,7679.7139,2,,0
2011q3,7698.936,3,,0
2011q4,7707.5122,4,,0
2012q1,7711.9966,1,,0
2012q2,7712.8911,2,,0
2012q3,7718.6855,3,,0
2012q4,7727.9756,4,,0
